sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,sample_vol_ml,wp_mass_g,wet_mass_g,dry_mass_g,notes
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,A,15,1.373,21.188,10.5433,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,B,15,1.383,21.225,10.7725,
PSD25_S2.1_t0_C,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,C,15,1.383,21.264,9.5298,
PSD25_S2.2_t0_A,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,A,15,1.381,21.3,9.9058,
PSD25_S2.2_t0_B,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,B,15,1.355,20.287,8.2591,
PSD25_S2.2_t0_C,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,C,15,1.378,20.755,9.0487,
PSD25_S2.3_t0_A,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,A,15,1.369,24.824,16.2528,
PSD25_S2.3_t0_B,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,B,15,1.353,24.134,13.8643,
PSD25_S2.3_t0_C,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,C,15,1.356,25.419,15.1919,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,A,15,1.354,24.135,14.6111,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,B,15,1.353,23.385,13.3629,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,C,15,1.371,24.283,14.3454,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,A,15,1.372,25.171,15.2282,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,B,15,1.354,24.552,14.8596,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,C,15,1.368,24.307,14.3572,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,A,15,1.38,23.76,13.6309,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,B,15,1.392,23.224,12.3626,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,C,15,1.39,24.002,14.4208,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,A,15,1.358,21.381,10.1797,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,B,15,1.363,19.222,7.584,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,C,15,1.343,20.903,8.7764,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,A,15,1.35,21.687,10.3952,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,B,15,1.367,21.1,9.5849,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,C,15,1.362,22.601,11.3614,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,A,15,1.366,21.903,11.382,
