sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,bps_replicate,Tt_bps,notes
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,C,5,3,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,A,1,4,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,A,2,7,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,A,3,NA,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,A,4,NA,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,A,5,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,B,1,5,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,B,2,5,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,B,3,3,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,B,4,5,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,B,5,4,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,C,1,3,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,C,2,4,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,C,3,2,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,C,4,3,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-06,t0,C,5,3,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,A,1,3,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,A,2,4,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,A,3,3,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,A,4,3,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,A,5,3,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,B,1,6,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,B,2,4,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,B,3,4,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,B,4,3,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,B,5,4,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,C,1,3,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,C,2,4,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,C,3,4,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,C,4,3,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-06,t0,C,5,4,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,A,1,3,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,A,2,4,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,A,3,5,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,A,4,5,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,A,5,4,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,B,1,4,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,B,2,4,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,B,3,3,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,B,4,5,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,B,5,4,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,C,1,4,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,C,2,4,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,C,3,4,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,C,4,3,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-06,t0,C,5,4,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,A,1,4,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,A,2,4,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,A,3,4,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,A,4,4,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,A,5,5,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,B,1,4,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,B,2,4,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,B,3,6,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,B,4,3,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,B,5,4,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,C,1,5,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,C,2,4,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,C,3,4,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-06,t0,C,4,4,
